 ,Area,%Area,Slice
827,8,100,24
828,1,100,24
829,1,100,24
830,3,100,24
831,18,100,24
832,2,100,24
833,1,100,24
834,4,100,24
835,6,100,24
836,3,100,24
837,12,100,24
838,2,100,24
839,1,100,24
840,16,100,24
841,8,100,24
842,22,100,24
843,1,100,24
844,1,100,25
845,3,100,25
846,1,100,25
847,7,100,25
848,29,100,25
849,1,100,25
850,5,100,25
851,17,100,25
852,1,100,25
853,3,100,25
854,6,100,25
855,2,100,25
856,6,100,25
857,15,100,25
858,1,100,25
859,15,100,25
860,1,100,25
861,1,100,25
862,1,100,25
863,9,100,25
864,17,100,25
865,9,100,25
866,2,100,25
867,13,100,25
868,9,100,25
869,11,100,25
870,3,100,25
871,2,100,25
872,2,100,26
873,2,100,26
874,1,100,26
875,1,100,26
876,3,100,26
877,1,100,26
878,1,100,26
879,1,100,26
880,3,100,26
881,1,100,26
882,15,100,26
883,26,100,26
884,7,100,26
885,3,100,26
886,10,100,26
887,6,100,26
888,14,100,26
889,1,100,26
890,6,100,26
891,16,100,26
892,2,100,26
893,13,100,26
894,16,100,26
895,5,100,26
896,1,100,26
897,5,100,26
898,1,100,26
899,1,100,26
900,18,100,26
901,1,100,26
902,22,100,26
903,20,100,26
904,1,100,26
905,9,100,26
906,2,100,26
907,18,100,26
908,1,100,26
909,2,100,26
910,2,100,27
911,2,100,27
912,5,100,27
913,1,100,27
914,4,100,27
915,6,100,27
916,1,100,27
917,1,100,27
918,1,100,27
919,2,100,27
920,16,100,27
921,10,100,27
922,1,100,27
923,1,100,27
924,19,100,27
925,16,100,27
926,1,100,27
927,21,100,27
928,8,100,27
929,6,100,27
930,22,100,27
931,1,100,27
932,24,100,27
933,2,100,27
934,15,100,27
935,9,100,27
936,7,100,27
937,11,100,27
938,1,100,27
939,1,100,27
940,2,100,27
941,1,100,27
942,9,100,27
943,1,100,27
944,23,100,27
945,9,100,27
946,22,100,27
947,7,100,27
948,26,100,27
949,9,100,27
950,25,100,27
