Volume (micrometer^3),Surface (micrometer^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (micrometer),SD dist. to surf. (micrometer),Median dist. to surf. (micrometer),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
72,0,72,0,0,0,0,0,0,0,702.264,1049.819,14.889,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,852.455,523.818,15.091,0,0,0,0,0,0,0,0,0,0,0,0
99,0,99,0,0,0,0,0,0,0,718.707,569.636,16.141,0,0,0,0,0,0,0,0,0,0,0,0
20,0,20,0,0,0,0,0,0,0,582.500,834.400,16.100,0,0,0,0,0,0,0,0,0,0,0,0
22,0,22,0,0,0,0,0,0,0,921.682,853.955,15.500,0,0,0,0,0,0,0,0,0,0,0,0
37,0,37,0,0,0,0,0,0,0,922.838,871.270,15.514,0,0,0,0,0,0,0,0,0,0,0,0
41,0,41,0,0,0,0,0,0,0,840.585,885.049,16.537,0,0,0,0,0,0,0,0,0,0,0,0
52,0,52,0,0,0,0,0,0,0,925.712,896.654,16.404,0,0,0,0,0,0,0,0,0,0,0,0
42,0,42,0,0,0,0,0,0,0,787.500,1069.976,16.310,0,0,0,0,0,0,0,0,0,0,0,0
29,0,29,0,0,0,0,0,0,0,616.655,1149.207,15.103,0,0,0,0,0,0,0,0,0,0,0,0
147,0,147,0,0,0,0,0,0,0,1084.912,745.973,18.231,0,0,0,0,0,0,0,0,0,0,0,0
98,0,98,0,0,0,0,0,0,0,448.214,822.194,17.663,0,0,0,0,0,0,0,0,0,0,0,0
54,0,54,0,0,0,0,0,0,0,375.574,896.518,17.648,0,0,0,0,0,0,0,0,0,0,0,0
16,0,16,0,0,0,0,0,0,0,994.500,1018.000,16.000,0,0,0,0,0,0,0,0,0,0,0,0
94,0,94,0,0,0,0,0,0,0,939.862,1132.787,17.330,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,0,0,0,0,0,0,886.455,463.545,16.909,0,0,0,0,0,0,0,0,0,0,0,0
181,0,181,0,0,0,0,0,0,0,545.729,537.431,20.348,0,0,0,0,0,0,0,0,0,0,0,0
82,0,82,0,0,0,0,0,0,0,1001.024,709.683,18.768,0,0,0,0,0,0,0,0,0,0,0,0
152,0,152,0,0,0,0,0,0,0,594.737,836.408,18.072,0,0,0,0,0,0,0,0,0,0,0,0
60,0,60,0,0,0,0,0,0,0,901.033,842.250,18.050,0,0,0,0,0,0,0,0,0,0,0,0
158,0,158,0,0,0,0,0,0,0,451.133,881.089,20.013,0,0,0,0,0,0,0,0,0,0,0,0
139,0,139,0,0,0,0,0,0,0,1088.043,932.086,19.547,0,0,0,0,0,0,0,0,0,0,0,0
27,0,27,0,0,0,0,0,0,0,778.667,966.111,16.926,0,0,0,0,0,0,0,0,0,0,0,0
118,0,118,0,0,0,0,0,0,0,1154.483,965.915,19.195,0,0,0,0,0,0,0,0,0,0,0,0
35,0,35,0,0,0,0,0,0,0,1029.886,971.114,17.429,0,0,0,0,0,0,0,0,0,0,0,0
127,0,127,0,0,0,0,0,0,0,1038.118,1081.079,19.370,0,0,0,0,0,0,0,0,0,0,0,0
39,0,39,0,0,0,0,0,0,0,321.615,629.154,18.513,0,0,0,0,0,0,0,0,0,0,0,0
74,0,74,0,0,0,0,0,0,0,938.419,642.446,19.581,0,0,0,0,0,0,0,0,0,0,0,0
122,0,122,0,0,0,0,0,0,0,330.623,644.771,20.607,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,0,0,0,0,0,0,0,924.810,862.619,17.952,0,0,0,0,0,0,0,0,0,0,0,0
324,0,324,0,0,0,0,0,0,0,902.336,864.426,20.593,0,0,0,0,0,0,0,0,0,0,0,0
242,0,242,0,0,0,0,0,0,0,875.012,920.331,21.074,0,0,0,0,0,0,0,0,0,0,0,0
221,0,221,0,0,0,0,0,0,0,650.860,948.005,20.624,0,0,0,0,0,0,0,0,0,0,0,0
251,0,251,0,0,0,0,0,0,0,705.080,771.327,21.112,0,0,0,0,0,0,0,0,0,0,0,0
48,0,48,0,0,0,0,0,0,0,964.188,859.208,20.208,0,0,0,0,0,0,0,0,0,0,0,0
95,0,95,0,0,0,0,0,0,0,494.042,963.684,21.084,0,0,0,0,0,0,0,0,0,0,0,0
48,0,48,0,0,0,0,0,0,0,664.938,965.042,19.375,0,0,0,0,0,0,0,0,0,0,0,0
219,0,219,0,0,0,0,0,0,0,873.479,1065.196,22.429,0,0,0,0,0,0,0,0,0,0,0,0
134,0,134,0,0,0,0,0,0,0,655.321,423.552,22.485,0,0,0,0,0,0,0,0,0,0,0,0
249,0,249,0,0,0,0,0,0,0,827.337,627.992,22.855,0,0,0,0,0,0,0,0,0,0,0,0
21,0,21,0,0,0,0,0,0,0,987.095,628.190,20.048,0,0,0,0,0,0,0,0,0,0,0,0
