Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
529,obj530-val530,530,0,858.8804347826087,1209.9782608695652,55.95652173913044,858.8804347826087,1209.9782608695652,55.95652173913044,856,1207,54,862,1212,58,210.0,0.4380952380952381,92.0,92,160.0,160.0,101.16936666666666,0.23370504099595318,0.6159652858348315,0.9244446945833467,0.9741525644047152,0.23370504099595318,0.6159652858348315,0.9122145634725237,3.563191926791712,1.2361110673778286,1.218562677878535,101.77553008988029,0.9039500940820716,1.3168333586745529,3.670583132051463,2.488059302373854,0.503743924191916,
530,obj531-val531,531,0,801.9692307692308,287.75384615384615,56.49230769230769,801.9692307692308,287.75384615384615,56.49230769230769,800,285,55,804,290,58,120.0,0.5416666666666666,65.0,65,120.0,120.0,75.2238,0.2765256033628516,0.6514963230430181,1.122569611443988,1.0392924216336163,0.2765256033628516,0.6514963230430181,0.9214935726674706,2.98588716853358,1.1898055560719756,1.1268964773088541,69.89928911379397,0.9299093141588597,1.1214951980681542,3.2857591235133894,2.125476084453452,0.43374614789212934,
531,obj532-val532,532,0,621.0,317.5,55.0,621.0,317.5,55.0,621,317,55,621,318,55,2.0,1.0,2.0,2,10.0,10.0,6.666666666666667,0.4523893421169302,0.7676635200443077,1.526814029644639,1.1514949756065076,0.4523893421169302,0.7676635200443077,0.8078870169771784,1.118033988749895,NaN,NaN,NaN,NaN,0.5,0.5,0.5,0.0,
532,obj533-val533,533,0,1112.0,956.6470588235294,57.029411764705884,1112.0,956.6470588235294,57.029411764705884,1110,955,55,1114,958,59,100.0,0.34,34.0,34,82.0,82.0,51.488099999999996,0.2371202533911885,0.6189512226226115,0.9578325902615126,0.9857418686430361,0.2371202533911885,0.6189512226226115,0.865067285169187,2.5481074742080803,1.2143387272375827,1.2672850334037244,37.084106208231375,0.9168348243068398,1.0327676391811487,2.568271940672483,1.7010214829810997,0.4057245596477583,
533,obj534-val534,534,0,1009.688524590164,1162.4262295081967,57.032786885245905,1009.688524590164,1162.4262295081967,57.032786885245905,1008,1159,55,1012,1165,59,175.0,0.3485714285714286,61.0,61,128.0,128.0,80.437,0.2006698539277431,0.585456021784224,0.8086199455254695,0.931640049591973,0.2006698539277431,0.585456021784224,0.8717184301844398,3.299156103024501,1.3397743204390846,1.2024266729429476,69.69077325040207,0.875295209895638,1.2218339733910961,3.6261020343407995,2.161355026573414,0.5229726707566973,
534,obj535-val535,535,0,731.625,112.0,57.0,731.625,112.0,57.0,731,111,56,732,113,58,18.0,0.4444444444444444,8.0,8,30.0,30.0,19.175800000000002,0.268082573106329,0.6447970645564246,1.026530536844609,1.0087664372906284,0.268082573106329,0.6447970645564246,0.75,2.065857437715964,1.9083573564363239,1.2650741509343981,8.015936046619336,0.998011954371061,0.375,1.4630874888399532,1.05258389962793,0.3801385224874289,
535,obj536-val536,536,0,588.7,519.2,57.166666666666664,588.7,519.2,57.166666666666664,587,517,56,590,521,58,60.0,0.5,30.0,30,74.0,74.0,47.2309,0.2511884833482452,0.6309575012448104,0.9660869575972288,0.9885654008324558,0.2511884833482452,0.6309575012448104,0.86834969220557,2.481757861961581,1.3255528224406383,1.1732055105200916,31.059798605913358,0.9658787676198394,0.7468452167469902,2.314687403901019,1.564122833875482,0.40848532918600616,
536,obj537-val537,537,0,1115.412017167382,645.7124463519314,58.81545064377682,1115.412017167382,645.7124463519314,58.81545064377682,1112,641,56,1119,649,62,504.0,0.4623015873015873,233.0,233,290.0,290.0,182.42860000000002,0.25175043046236034,0.6314276665309356,1.011312650155814,1.0037567525225026,0.25175043046236034,0.6314276665309356,0.9463530915548217,4.455625371756757,1.159999273150369,1.1256623785403992,244.61946231687048,0.9524998452419984,2.4360977774188513,4.81848878630228,3.456361541405197,0.4887760455814474,
537,obj538-val538,538,0,1322.1754385964912,783.7719298245614,58.36842105263158,1322.1754385964912,783.7719298245614,58.36842105263158,1320,781,56,1324,786,61,180.0,0.6333333333333333,114.0,114,168.0,168.0,105.46693333333333,0.30998039757996954,0.6767759438425518,1.2528905153618066,1.0780470293624407,0.30998039757996954,0.6767759438425518,0.9503910776874,3.366298294537749,1.0350269566908197,1.2615445913754495,118.23347428317146,0.9641939449987555,1.6138443823263602,3.457653956564844,2.6312077368810307,0.39355515070606395,
538,obj539-val539,539,0,419.6466165413534,1135.8496240601503,58.62406015037594,419.6466165413534,1135.8496240601503,58.62406015037594,416,1133,56,423,1138,61,288.0,0.4618055555555556,133.0,133,198.0,198.0,122.03486666666666,0.257727098576907,0.6363854249257349,1.1007884458389317,1.0325266919958678,0.257727098576907,0.6363854249257349,0.9350653318289628,3.801401344935208,1.2603575926315091,1.0628275508355438,136.29169491035688,0.9758481621897657,1.8666312663379474,4.063789791861889,2.8120594179035012,0.4140242752076895,
